#{"t_start": 1752536146.238728, "env_id": "SafeCartPole-v0"}
r,l,t,c
15.0,15,1.276192,15.0
26.0,30,1.303357,26.0
22.0,22,1.323178,22.0
22.0,22,1.343015,22.0
18.0,18,1.359229,18.0
20.0,21,1.378103,20.0
19.0,21,1.396993,19.0
20.0,20,1.414972,20.0
9.0,11,1.424886,9.0
15.0,15,1.438411,15.0
22.0,22,1.45818,22.0
9.0,9,1.466293,9.0
11.0,14,1.478947,11.0
25.0,32,1.507648,25.0
32.0,32,1.536338,32.0
10.0,10,1.545394,10.0
29.0,29,1.571379,29.0
27.0,44,1.610555,27.0
13.0,15,1.623833,13.0
11.0,13,1.635389,11.0
11.0,12,1.646025,11.0
12.0,18,1.662082,12.0
17.0,21,1.680752,17.0
13.0,14,1.693274,13.0
18.0,22,1.712856,18.0
21.0,21,1.731533,21.0
33.0,33,1.760827,33.0
23.0,23,1.781248,23.0
22.0,22,1.800838,22.0
37.0,37,1.83374,37.0
56.0,56,1.883474,56.0
9.0,13,1.895138,9.0
40.0,47,1.936969,40.0
10.0,10,1.945932,10.0
19.0,19,1.962898,19.0
19.0,19,1.979843,19.0
30.0,30,2.006586,30.0
14.0,14,2.019274,14.0
41.0,47,2.060715,41.0
13.0,13,2.072255,13.0
14.0,14,2.084691,14.0
11.0,14,2.09721,11.0
7.0,10,2.106118,7.0
24.0,24,2.127436,24.0
13.0,13,2.138999,13.0
14.0,14,2.151488,14.0
17.0,17,2.166651,17.0
11.0,11,2.176576,11.0
14.0,19,2.193723,14.0
11.0,16,2.208091,11.0
60.0,64,2.265755,60.0
11.0,11,2.275844,11.0
34.0,34,2.306815,34.0
24.0,24,2.329139,24.0
21.0,21,2.348329,21.0
8.0,10,2.357483,8.0
12.0,16,2.371948,12.0
13.0,15,2.385633,13.0
11.0,17,2.401624,11.0
13.0,13,2.413964,13.0
29.0,29,2.441487,29.0
30.0,30,2.469792,30.0
33.0,33,2.500978,33.0
28.0,28,2.526604,28.0
16.0,16,2.541214,16.0
12.0,12,2.552553,12.0
39.0,51,2.600621,39.0
22.0,22,2.620952,22.0
7.0,9,2.629236,7.0
38.0,50,2.674998,38.0
14.0,19,2.692519,14.0
11.0,14,2.705427,11.0
23.0,23,2.726534,23.0
13.0,13,2.738543,13.0
8.0,11,2.748662,8.0
26.0,26,2.772425,26.0
11.0,11,2.782548,11.0
13.0,13,2.794442,13.0
9.0,13,2.806346,9.0
25.0,25,2.829396,25.0
10.0,10,2.838923,10.0
10.0,13,2.850888,10.0
33.0,33,2.881609,33.0
10.0,10,2.890917,10.0
10.0,14,2.903818,10.0
15.0,16,2.91848,15.0
25.0,25,2.941325,25.0
22.0,22,2.961511,22.0
14.0,15,2.976522,14.0
10.0,12,2.98761,10.0
9.0,9,2.995849,9.0
43.0,43,3.037953,43.0
8.0,12,3.04904,8.0
21.0,21,3.06845,21.0
22.0,22,3.088682,22.0
10.0,13,3.100618,10.0
16.0,16,3.115299,16.0
7.0,9,3.123635,7.0
29.0,29,3.644339,29.0
21.0,21,3.663644,21.0
29.0,29,3.69034,29.0
16.0,16,3.70511,16.0
17.0,17,3.720766,17.0
14.0,14,3.733777,14.0
27.0,27,3.758588,27.0
23.0,23,3.779932,23.0
33.0,33,3.810581,33.0
16.0,16,3.825383,16.0
14.0,14,3.83828,14.0
25.0,25,3.861128,25.0
11.0,11,3.871202,11.0
27.0,71,3.935562,27.0
19.0,19,3.952784,19.0
15.0,16,3.96729,15.0
24.0,24,3.98903,24.0
50.0,50,4.034522,50.0
44.0,44,4.074519,44.0
12.0,13,4.086343,12.0
13.0,13,4.098009,13.0
25.0,25,4.120541,25.0
25.0,29,4.146572,25.0
13.0,13,4.158257,13.0
16.0,16,4.172892,16.0
20.0,20,4.191059,20.0
25.0,25,4.213735,25.0
14.0,17,4.228877,14.0
12.0,14,4.24124,12.0
25.0,25,4.263103,25.0
17.0,20,4.280747,17.0
20.0,20,4.298411,20.0
23.0,23,4.318741,23.0
14.0,14,4.33121,14.0
29.0,29,4.35659,29.0
10.0,22,4.375704,10.0
17.0,17,4.390532,17.0
36.0,49,4.433245,36.0
10.0,14,4.445654,10.0
23.0,23,4.467156,23.0
19.0,19,4.48573,19.0
12.0,14,4.498124,12.0
10.0,12,4.508669,10.0
9.0,12,4.519204,9.0
21.0,35,4.549788,21.0
10.0,13,4.561171,10.0
22.0,22,4.580499,22.0
23.0,23,4.600755,23.0
26.0,56,4.649371,26.0
10.0,11,4.658964,10.0
14.0,14,4.671147,14.0
16.0,16,4.685122,16.0
16.0,21,4.7034,16.0
7.0,13,4.714726,7.0
16.0,16,4.728595,16.0
16.0,16,4.742426,16.0
10.0,10,4.751092,10.0
30.0,30,4.777019,30.0
24.0,24,4.797787,24.0
44.0,48,4.838994,44.0
9.0,12,4.849332,9.0
22.0,22,4.868183,22.0
15.0,15,4.881138,15.0
13.0,13,4.892322,13.0
16.0,18,4.907833,16.0
24.0,24,4.928514,24.0
30.0,30,4.954268,30.0
15.0,19,4.970588,15.0
9.0,11,4.98013,9.0
26.0,26,5.002495,26.0
17.0,17,5.01715,17.0
21.0,21,5.035194,21.0
12.0,14,5.047252,12.0
33.0,33,5.075518,33.0
7.0,8,5.082449,7.0
14.0,15,5.095427,14.0
21.0,21,5.113528,21.0
27.0,32,5.140907,27.0
32.0,42,5.176909,32.0
18.0,18,5.192449,18.0
42.0,42,5.22878,42.0
